Date,Low,High,Volume,Close
11/18/2014,323.25,329.56,3551161,324.93
11/19/2014,324.02,328.4,3281614,326.54
11/20/2014,323.33,332.67,3436721,330.54
11/21/2014,331.47,338.33,4466587,332.63
11/24/2014,333.6,337.39,2754186,335.64
11/25/2014,331.28,336.3325,2564989,335.04
11/26/2014,331.75,334.65,1985949,333.57
11/28/2014,336.03,341.26,3051798,338.64
12/1/2014,325.93,340.64,4944861,326
12/2/2014,323.25,327.93,2790257,326.31
12/3/2014,314.36,326.77,5689904,316.5
12/4/2014,313.47,318.59,3296642,316.93
12/5/2014,310.84,316.93,3265214,312.63
12/8/2014,304.821,316.56,3639180,306.64
12/9/2014,301.14,313.639,4049506,312.5
12/10/2014,304.68,313.19,3245890,305.84
12/11/2014,306.01,312.64,3272919,307.36
12/12/2014,303.01,310.6399,3162322,307.32
12/15/2014,302.15,310.86,3841577,306.07
12/16/2014,295.01,304.49,6501252,295.06
12/17/2014,293.03,299.67,4433505,298.88
12/18/2014,293.25,304.5,7738067,297.73
12/19/2014,295.52,301.54,8709129,299.9
12/22/2014,301.94,307.36,4003827,306.54
12/23/2014,303.252,307.49,2718359,306.285
12/24/2014,302.875,307,1518107,303.03
12/26/2014,303.81,310.7799,2893801,309.09
12/29/2014,306.58,314.27,3009046,312.04
12/30/2014,309.34,313.94,2093023,310.3
12/31/2014,310.01,312.98,2057766,310.35
1/2/2015,306.9601,314.75,2788101,308.52
1/5/2015,300.85,308.38,2774231,302.19
1/6/2015,292.38,303,3519034,295.29
1/7/2015,295.33,301.28,2640349,298.42
1/8/2015,296.11,303.14,3088398,300.46
1/9/2015,296.68,302.87,2570947,296.93
1/12/2015,289.281,298.51,3421392,291.41
1/13/2015,293.23,301.4976,4136442,294.74
1/14/2015,286.503,295.91,5538666,293.27
1/15/2015,286.815,295.9995,4419196,286.95
1/16/2015,285.25,290.79,3478176,290.74
1/20/2015,286.39,293.3599,3075081,289.44
1/21/2015,287.26,306,10065076,297.25
1/22/2015,300,312.25,5362640,310.32
1/23/2015,307.72,316.93,4496419,312.39
1/26/2015,307.5201,313,3169665,309.66
1/27/2015,302.625,310.243,2920315,306.75
1/28/2015,303.8,311.51,3063774,303.91
1/29/2015,299.33,312.8,8656567,311.78
1/30/2015,340.74,359.5,23856060,354.53
2/2/2015,350.01,365,10231914,364.47
2/3/2015,360.21,367.817,6212565,363.55
2/4/2015,358.23,367.5,4169927,364.75
2/5/2015,365.9,378.8,7247605,373.89
2/6/2015,371.01,375.9899,3892382,374.28
2/9/2015,367.2,374.41,2724630,370.56
2/10/2015,368.51,374.3,2287232,372.995
2/11/2015,371.1,377.1,2786523,375.14
2/12/2015,373.15,378.51,2791050,377.17
2/13/2015,377.01,383,3475069,381.83
2/17/2015,372.67,379.985,3673208,375.43
2/18/2015,372.85,376.74,2650610,373.37
2/19/2015,373.43,381.88,2953752,378.995
2/20/2015,375.84,383.7,3258023,383.66
2/23/2015,378,384.54,2176989,380.14
2/24/2015,376.16,380.48,1921850,378.59
2/25/2015,376.54,387.85,3174495,385.37
2/26/2015,383.28,389.37,2687107,384.8
2/27/2015,379.79,385.99,2532309,380.16
3/2/2015,379.481,385.9,2139205,385.655
3/3/2015,381.601,386.1,1946498,384.61
3/4/2015,382.19,387.9,2259141,382.72
3/5/2015,383.89,388.4182,2693518,387.83
3/6/2015,378.88,387,2627042,380.09
3/9/2015,375.28,379.33,2311390,378.56
3/10/2015,369.18,377.77,3120972,369.51
3/11/2015,366.26,373.35,2495097,366.37
3/12/2015,367.52,375.5,2810001,374.24
3/13/2015,366.68,373.99,2611658,370.58
3/16/2015,366.72,373.94,2354059,373.35
3/17/2015,369.64,374.5,2036961,371.92
3/18/2015,366.7,375.99,2654135,375.135
3/19/2015,372.19,377.11,1915671,373.24
3/20/2015,375.92,379.37,3763553,378.49
3/23/2015,374.94,381.77,2239343,375.11
3/24/2015,372.27,375.24,2228214,374.09
3/25/2015,370.285,380.5,3429497,370.96
3/26/2015,365.65,371.4,2929962,367.35
3/27/2015,366.5734,373.17,2609774,370.56
3/30/2015,371.55,376.12,1820933,374.59
3/31/2015,371.51,377.7,2506122,372.1
4/1/2015,368.34,373.16,2458095,370.255
4/2/2015,369,373.28,1875279,372.25
4/6/2015,369.36,380.2,3050709,377.04
4/7/2015,374.03,379.31,1954902,374.41
4/8/2015,374.65,381.58,2636434,381.2
4/9/2015,378.795,384.42,2392328,383.54
4/10/2015,381.3151,387.12,2573519,382.65
4/13/2015,380.14,385.28,1894453,382.36
4/14/2015,381.2101,387.81,2583575,385.11
4/15/2015,381.64,385.78,1933229,383.45
4/16/2015,383.55,387.45,2080418,386.04
4/17/2015,374.4,383.56,3839664,375.56
4/20/2015,377,391.94,5016148,389.51
4/21/2015,386.8,394.6,4643524,391.18
4/22/2015,388,394.28,3474724,389.8
4/23/2015,386.15,391.88,7979985,389.99
4/24/2015,439,452.65,17176904,445.1
4/27/2015,437.41,446.99,5430949,438.56
4/28/2015,428.04,439,4140483,429.31
4/29/2015,426.03,434.24,3621688,429.37
4/30/2015,419.24,431.75,3647877,421.78
5/1/2015,416,425.64,3565824,422.87
5/4/2015,422.42,429.77,2270448,423.04
